is_2_11_7uM,,is_2_11_15uM1,,is_2_11_31uM,,is_2_11_62uM,,is_2_11_125uM,,is_2_11_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
768.960022,-0.003075365908,768.960022,-0.00233447901,768.960022,-0.00141350436,768.960022,0.001591196749,768.960022,0.00442782091,768.960022,0.01441579964,
768.5386963,-0.002756116213,768.5386963,-0.00204524165,768.5386963,-0.001286540646,768.5386963,0.000975857547,768.5386963,0.004222686868,768.5386963,0.01463434659,
767.9767456,-0.003277141368,767.9767456,-0.001833819551,767.9767456,-0.001679543173,767.9767456,0.0006710424204,767.9767456,0.003876458621,767.9767456,0.01450537331,
767.5552368,-0.002919678809,767.5552368,-0.002514620544,767.5552368,-0.001208227943,767.5552368,0.001195946126,767.5552368,0.003970624413,767.5552368,0.01479241718,
766.993103,-0.002765633399,766.993103,-0.00243833079,766.993103,-0.001495391713,766.993103,0.001195063582,766.993103,0.004054933786,766.993103,0.01453358401,
766.4309082,-0.003145221854,766.4309082,-0.001870369655,766.4309082,-0.001821807353,766.4309082,0.001106947428,766.4309082,0.004200417083,766.4309082,0.014139059,
766.0091553,-0.003178629559,766.0091553,-0.002303890185,766.0091553,-0.001660718932,766.0091553,0.001034106244,766.0091553,0.003960880451,766.0091553,0.0141131198,
765.4466553,-0.002996244002,765.4466553,-0.002422525547,765.4466553,-0.001498900121,765.4466553,0.001361429808,765.4466553,0.003841409693,765.4466553,0.01406846475,
765.0247803,-0.003122451948,765.0247803,-0.002364808228,765.0247803,-0.001739465864,765.0247803,0.0006460245349,765.0247803,0.003592622001,765.0247803,0.01430254057,
764.4620972,-0.003328161547,764.4620972,-0.002283032984,764.4620972,-0.001578450087,764.4620972,0.001307369326,764.4620972,0.003888995387,764.4620972,0.01413801592,
764.0400391,-0.00334172463,764.0400391,-0.002140147146,764.0400391,-0.00164983666,764.0400391,0.0005475744256,764.0400391,0.003834750038,764.0400391,0.01416130923,
763.4771729,-0.003608074272,763.4771729,-0.00247395481,763.4771729,-0.001832685317,763.4771729,0.0008325913805,763.4771729,0.003548513632,763.4771729,0.01404686086,
763.0549316,-0.003570745932,763.0549316,-0.002916541882,763.0549316,-0.001659996924,763.0549316,0.0007128370926,763.0549316,0.003980133682,763.0549316,0.01372696366,
762.4918823,-0.003480209969,762.4918823,-0.002604431706,762.4918823,-0.002148132306,762.4918823,0.000381726888,762.4918823,0.003310561879,762.4918823,0.01393770706,
762.069519,-0.003592311637,762.069519,-0.00234148209,762.069519,-0.002126237378,762.069519,0.0004487320257,762.069519,0.003756671678,762.069519,0.01360779535,
761.5062256,-0.003419037443,761.5062256,-0.002802619478,761.5062256,-0.002019528067,761.5062256,0.0007463379879,761.5062256,0.003825792577,761.5062256,0.01371227019,
760.9428711,-0.003804675769,760.9428711,-0.00275560189,760.9428711,-0.002330719959,760.9428711,0.0003434613755,760.9428711,0.003443767549,760.9428711,0.01358741615,
760.5202026,-0.003807652276,760.5202026,-0.002854209859,760.5202026,-0.002584875561,760.5202026,0.0003898363793,760.5202026,0.003217373509,760.5202026,0.01359283738,
759.956604,-0.003953274339,759.956604,-0.003070482286,759.956604,-0.002408367116,759.956604,0.000390354573,759.956604,0.003038042923,759.956604,0.01351877954,
759.5338745,-0.003377942601,759.5338745,-0.003175854217,759.5338745,-0.002541488502,759.5338745,0.0001334885601,759.5338745,0.00301202829,759.5338745,0.01314318459,
758.9700317,-0.004230323713,758.9700317,-0.002971306443,758.9700317,-0.002749634208,758.9700317,-0.0002529875201,758.9700317,0.002989742206,758.9700317,0.01355934609,
758.5471191,-0.003881752258,758.5471191,-0.003277090145,758.5471191,-0.002583434572,758.5471191,-7.066294347E-5,758.5471191,0.002588868374,758.5471191,0.01288906578,
757.9831543,-0.004221709911,757.9831543,-0.003188959789,757.9831543,-0.002540098969,757.9831543,-0.0006743234117,757.9831543,0.002791799372,757.9831543,0.0131893456,
757.5600586,-0.004569137935,757.5600586,-0.003537522396,757.5600586,-0.002727357903,757.5600586,0.0001126185598,757.5600586,0.002639156068,757.5600586,0.01305885334,
756.9958496,-0.004574209452,756.9958496,-0.00311078364,756.9958496,-0.002534848871,756.9958496,-0.0003687184944,756.9958496,0.002892557532,756.9958496,0.0131239742,
756.4315186,-0.004581279121,756.4315186,-0.003721631598,756.4315186,-0.003140698886,756.4315186,-7.920384087E-5,756.4315186,0.002985493746,756.4315186,0.0125934165,
756.0081787,-0.004485061392,756.0081787,-0.003563351696,756.0081787,-0.003318399889,756.0081787,-0.0004395800643,756.0081787,0.002591550583,756.0081787,0.0126580419,
755.4436646,-0.004894122481,755.4436646,-0.003768442199,755.4436646,-0.003537419718,755.4436646,-0.0008136099786,755.4436646,0.002274800558,755.4436646,0.01264879387,
755.0202026,-0.004589885473,755.0202026,-0.003667115467,755.0202026,-0.003240863793,755.0202026,-0.0006579368492,755.0202026,0.002366407309,755.0202026,0.01268922538,
