is_2_8_7uM,,is_2_8_15uM,,is_2_8_31uM,,is_2_8_62uM,,is_2_8_125uM1,,is_2_8_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
760.5202026,-0.004742465913,760.5202026,-0.004210738,760.5202026,-0.004080281127,760.5202026,-0.003540911712,760.5202026,-0.003178166924,760.5202026,-0.00257139164,
759.956604,-0.004540550523,759.956604,-0.004524257965,759.956604,-0.004331262782,759.956604,-0.003979745787,759.956604,-0.003324154066,759.956604,-0.002195009729,
759.5338745,-0.004953193944,759.5338745,-0.00422934955,759.5338745,-0.004406605382,759.5338745,-0.00454905536,759.5338745,-0.003150670091,759.5338745,-0.002675083699,
758.9700317,-0.005135476124,758.9700317,-0.00488158036,758.9700317,-0.004265903495,758.9700317,-0.004526512232,758.9700317,-0.003336792812,758.9700317,-0.002798247151,
758.5471191,-0.004872160498,758.5471191,-0.004556535278,758.5471191,-0.004495001398,758.5471191,-0.004562631715,758.5471191,-0.003357291222,758.5471191,-0.002613437595,
757.9831543,-0.005187147763,757.9831543,-0.004783380777,757.9831543,-0.004722340032,757.9831543,-0.004452215042,757.9831543,-0.003458022373,757.9831543,-0.002908365102,
757.5600586,-0.005128773395,757.5600586,-0.004594086204,757.5600586,-0.004333671648,757.5600586,-0.005131382961,757.5600586,-0.003489659866,757.5600586,-0.002851843834,
756.9958496,-0.005348365754,756.9958496,-0.004953142721,756.9958496,-0.005063943565,756.9958496,-0.004747075029,756.9958496,-0.0039190026,756.9958496,-0.002878845436,
756.4315186,-0.004905743059,756.4315186,-0.005075917579,756.4315186,-0.004852040671,756.4315186,-0.004891870078,756.4315186,-0.003979078494,756.4315186,-0.003321944969,
756.0081787,-0.005187505856,756.0081787,-0.00513261091,756.0081787,-0.005511159543,756.0081787,-0.0048208097,756.0081787,-0.003935933579,756.0081787,-0.003611052176,
755.4436646,-0.00556963589,755.4436646,-0.005115368403,755.4436646,-0.005333432928,755.4436646,-0.00473130215,755.4436646,-0.004099103622,755.4436646,-0.003135301871,
755.0202026,-0.005782210268,755.0202026,-0.005312567111,755.0202026,-0.005122889765,755.0202026,-0.004969931208,755.0202026,-0.004283384886,755.0202026,-0.003648274578,
754.4554443,-0.005609245971,754.4554443,-0.005153024569,754.4554443,-0.005248480942,754.4554443,-0.005048131105,754.4554443,-0.004366834182,754.4554443,-0.003561605932,
754.0317993,-0.005762643646,754.0317993,-0.005471949,754.0317993,-0.005532271229,754.0317993,-0.00541397091,754.0317993,-0.004143822473,754.0317993,-0.003822329687,
753.4669189,-0.005798558239,753.4669189,-0.005545970052,753.4669189,-0.005539120641,753.4669189,-0.005461315159,753.4669189,-0.004758648109,753.4669189,-0.003850810463,
753.0430908,-0.005483196117,753.0430908,-0.005546276923,753.0430908,-0.005585991312,753.0430908,-0.005326784682,753.0430908,-0.004524257965,753.0430908,-0.003807087895,
752.4779663,-0.006201076787,752.4779663,-0.005903525744,752.4779663,-0.00552322343,752.4779663,-0.005660452414,752.4779663,-0.004350381438,752.4779663,-0.00389960804,
752.0540161,-0.006057432387,752.0540161,-0.006045638584,752.0540161,-0.00562340254,752.0540161,-0.005588342436,752.0540161,-0.004557918292,752.0540161,-0.003884933423,
751.4887085,-0.00629114965,751.4887085,-0.005979923997,751.4887085,-0.005945250392,751.4887085,-0.00575140398,751.4887085,-0.00505273696,751.4887085,-0.00435842853,
