mbg_3_138_250uM,,mbg_3_138_7uM,,mbg_3_138_15uM,,mbg_3_138_31uM,,mbg_3_138_62uM,,mbg_3_138_125uM,,mbg_3_138_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
769.9429321,-0.002184913494,769.9429321,-0.003354773857,769.9429321,-0.003190347226,769.9429321,-0.002872673795,769.9429321,-0.003177293343,769.9429321,-0.003019740339,769.9429321,-0.002184913494,
769.5217285,-0.001824849052,769.5217285,-0.003074286506,769.5217285,-0.003295895644,769.5217285,-0.003202527296,769.5217285,-0.003295073751,769.5217285,-0.002877456835,769.5217285,-0.001824849052,
768.960022,-0.00187851442,768.960022,-0.003517700126,768.960022,-0.003363764146,768.960022,-0.003218663856,768.960022,-0.003266659332,768.960022,-0.003400699468,768.960022,-0.00187851442,
768.5386963,-0.00228390866,768.5386963,-0.003369928803,768.5386963,-0.003011360066,768.5386963,-0.002892371267,768.5386963,-0.003006218467,768.5386963,-0.003208334558,768.5386963,-0.00228390866,
767.9767456,-0.002336899284,767.9767456,-0.002993107541,767.9767456,-0.002878536703,767.9767456,-0.003600424156,767.9767456,-0.003383439267,767.9767456,-0.003383285133,767.9767456,-0.002336899284,
767.5552368,-0.001627452206,767.5552368,-0.003120498499,767.5552368,-0.002924358472,767.5552368,-0.003029457293,767.5552368,-0.003166397568,767.5552368,-0.003446106333,767.5552368,-0.001627452206,
766.993103,-0.001806752989,766.993103,-0.003078553127,766.993103,-0.002974700183,766.993103,-0.003432906,766.993103,-0.002791611478,766.993103,-0.003139722161,766.993103,-0.001806752989,
766.4309082,-0.002075539436,766.4309082,-0.003021231387,766.4309082,-0.002873959485,766.4309082,-0.003427101765,766.4309082,-0.002767691156,766.4309082,-0.003251500661,766.4309082,-0.002075539436,
766.0091553,-0.002188313287,766.0091553,-0.002849632176,766.0091553,-0.00267405482,766.0091553,-0.002822526032,766.0091553,-0.00280606607,766.0091553,-0.002905588131,766.0091553,-0.002188313287,
765.4466553,-0.002295650542,765.4466553,-0.003105643438,765.4466553,-0.002511274768,765.4466553,-0.003115769709,765.4466553,-0.003095876658,765.4466553,-0.003021436976,765.4466553,-0.002295650542,
765.0247803,-0.001929956721,765.0247803,-0.002935363213,765.0247803,-0.00242020865,765.0247803,-0.003136073006,765.0247803,-0.002904765308,765.0247803,-0.003015987109,765.0247803,-0.001929956721,
764.4620972,-0.00205745385,764.4620972,-0.002969301073,764.4620972,-0.00295696035,764.4620972,-0.003328880761,764.4620972,-0.003008532105,764.4620972,-0.003119367873,764.4620972,-0.00205745385,
764.0400391,-0.002101301216,764.0400391,-0.002979122102,764.0400391,-0.002672253875,764.0400391,-0.002977013821,764.0400391,-0.002800407819,764.0400391,-0.003008532105,764.0400391,-0.002101301216,
