is_2_9_7uM,,is_2_9_15uM1,,is_2_9_31uM2,,is_2_9_15uM,,is_2_9_31uM,,is_2_9_62uM,,is_2_9_125uM,,is_2_9_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
777.5131836,-0.003079838352,777.5131836,-0.001995874336,777.5131836,-0.002026124159,777.5131836,-0.0002600761072,777.5131836,-0.0003549068933,777.5131836,-0.0003376288514,777.5131836,-0.0007119015791,777.5131836,0.0002003777336,
776.953186,-0.002549414989,776.953186,-0.002383601852,776.953186,-0.002419230528,776.953186,-0.0004767648352,776.953186,0.0002103226434,776.953186,-6.33124655E-5,776.953186,-0.0005828713183,776.953186,0.0004417356395,
776.5330811,-0.002639733488,776.5330811,-0.002036739374,776.5330811,-0.002206960227,776.5330811,-0.0002123165759,776.5330811,-0.0003559414763,776.5330811,-0.0004603191046,776.5330811,-0.0006573165301,776.5330811,0.0001694049279,
775.9728394,-0.002997889183,775.9728394,-0.002371501876,775.9728394,-0.002065646695,775.9728394,-0.0005360263167,775.9728394,-0.0003603902005,775.9728394,-0.0004480619973,775.9728394,-0.0007910790737,775.9728394,0.0002686500084,
775.5526123,-0.002647812245,775.5526123,-0.002468292369,775.5526123,-0.002801282099,775.5526123,-0.0006401539431,775.5526123,-0.0005096027162,775.5526123,-0.0004758339492,775.5526123,-0.0007851360715,775.5526123,0.0002434221969,
774.9921875,-0.002613386139,774.9921875,-0.002063121879,774.9921875,-0.002358114347,774.9921875,-0.001086368458,774.9921875,-0.0002243216295,774.9921875,-0.0003454919788,774.9921875,-0.00100652175,774.9921875,0.0002465043508,
774.4316406,-0.003026989521,774.4316406,-0.002351214411,774.4316406,-0.002623163629,774.4316406,-0.0008353129379,774.4316406,-0.0008100444102,774.4316406,-0.000572375604,774.4316406,-0.0007736633415,774.4316406,0.000247540389,
774.0111694,-0.002344108419,774.0111694,-0.002413670067,774.0111694,-0.002170232357,774.0111694,-0.0008287504897,774.0111694,-0.0006015355466,774.0111694,-0.0006276433705,774.0111694,-0.0009070800734,774.0111694,-0.0003190050193,
773.4503784,-0.003189833369,773.4503784,-0.002282621106,773.4503784,-0.002881211229,773.4503784,-0.0007561435341,773.4503784,-0.0005598631105,773.4503784,-0.0006532844272,773.4503784,-0.001212874427,773.4503784,0.0002297987521,
773.0297241,-0.00281547918,773.0297241,-0.002366764704,773.0297241,-0.002332985634,773.0297241,-0.0005041729892,773.0297241,-0.0001564266131,773.0297241,-0.0006348292227,773.0297241,-0.0008320059278,773.0297241,8.913453348E-5,
