is_2_1_7uM,,mbg_3_127_5_15uM,,mbg_3_127_5_31uM1,,mbg_3_127_5_62uM3,,mbg_3_127_5_125uM2,,mbg_3_127_5_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
741.0090332,-0.009697002,741.0090332,-0.009555219,741.0090332,-0.00930577,741.0090332,0.001033717,741.0090332,5.521827916E-5,741.0090332,-0.009516068
740.4414673,-0.00953648,740.4414673,-0.009747628,740.4414673,-0.009214292,740.4414673,0.001165837,740.4414673,-0.000188719,740.4414673,-0.009841271
740.015686,-0.009948201,740.015686,-0.010051714,740.015686,-0.009563423,740.015686,0.000434999,740.015686,-0.000584112,740.015686,-0.00984866
739.447876,-0.010096988,739.447876,-0.010106092,739.447876,-0.0098149,739.447876,0.000366907,739.447876,-0.000354183,739.447876,-0.009813584
739.0219727,-0.010335215,739.0219727,-0.01003335,739.0219727,-0.009776684,739.0219727,0.000364368,739.0219727,-0.000784258,739.0219727,-0.01015748
738.4539795,-0.010514191,738.4539795,-0.010525208,738.4539795,-0.010004716,738.4539795,0.00040818,738.4539795,-0.000987358,738.4539795,-0.009951793
738.0279541,-0.010595745,738.0279541,-0.01053491,738.0279541,-0.009945468,738.0279541,0.00026189,738.0279541,-0.000785808,738.0279541,-0.010422968
737.4597778,-0.010369388,737.4597778,-0.010616813,737.4597778,-0.010036994,737.4597778,-8.71E-05,737.4597778,-0.000888274,737.4597778,-0.010250478
737.0335693,-0.010531574,737.0335693,-0.010527683,737.0335693,-0.010160262,737.0335693,0.000118315,737.0335693,-0.000854225,737.0335693,-0.010597917
736.4651489,-0.010692791,736.4651489,-0.010306803,736.4651489,-0.009923406,736.4651489,-0.000168174,736.4651489,-0.000936011,736.4651489,-0.010609589
736.0388184,-0.010615854,736.0388184,-0.010501508,736.0388184,-0.010129106,736.0388184,0.00023516,736.0388184,-0.000846784,736.0388184,-0.01040457
735.4702148,-0.010565985,735.4702148,-0.010280613,735.4702148,-0.010028848,735.4702148,0.000300174,735.4702148,-0.000914985,735.4702148,-0.010369844
735.0437012,-0.010652682,735.0437012,-0.010360997,735.0437012,-0.009865006,735.0437012,-1.55E-05,735.0437012,-0.000492744,735.0437012,-0.010133608
734.4749146,-0.010295528,734.4749146,-0.010189139,734.4749146,-0.009553041,734.4749146,0.000356363,734.4749146,-0.000343216,734.4749146,-0.010134822
734.0482788,-0.010378336,734.0482788,-0.010043924,734.0482788,-0.009727632,734.0482788,0.000468348,734.0482788,-0.000853501,734.0482788,-0.009925076
733.4793091,-0.010128904,733.4793091,-0.009921281,733.4793091,-0.009570159,733.4793091,0.000369135,733.4793091,-0.000274046,733.4793091,-0.009929832
733.0524902,-0.010152473,733.0524902,-0.009928162,733.0524902,-0.009927303,733.0524902,0.000595682,733.0524902,-0.00054461,733.0524902,-0.0098355
732.4832764,-0.010170731,732.4832764,-0.009845573,732.4832764,-0.009666877,732.4832764,0.000469696,732.4832764,-0.000149078,732.4832764,-0.00997527
732.0563354,-0.010213058,732.0563354,-0.010100023,732.0563354,-0.009910553,732.0563354,0.000189449,732.0563354,-0.000542645,732.0563354,-0.010280411
731.4869385,-0.010120305,731.4869385,-0.01023369,731.4869385,-0.009983264,731.4869385,0.00010744,731.4869385,-0.000658971,731.4869385,-0.010242134
731.0598755,-0.010581345,731.0598755,-0.010571897,731.0598755,-0.010299977,731.0598755,-0.000112227,731.0598755,-0.000935649,731.0598755,-0.010422716
730.4902954,-0.010922008,730.4902954,-0.01081547,730.4902954,-0.010671576,730.4902954,-0.000344095,730.4902954,-0.001303678,730.4902954,-0.010602717
730.0630493,-0.011105335,730.0630493,-0.010942859,730.0630493,-0.010608578,730.0630493,-0.000420805,730.0630493,-0.001125202,730.0630493,-0.011165233
729.4932861,-0.011429149,729.4932861,-0.011131071,729.4932861,-0.011121131,729.4932861,-0.000752629,729.4932861,-0.001501016,729.4932861,-0.011510127
729.0658569,-0.011576623,729.0658569,-0.011284751,729.0658569,-0.010987282,729.0658569,-0.000893751,729.0658569,-0.001888772,729.0658569,-0.011489304
728.4959106,-0.011958463,728.4959106,-0.01174884,728.4959106,-0.011548796,728.4959106,-0.00132515,728.4959106,-0.002284887,728.4959106,-0.011789504
728.0683594,-0.012344697,728.0683594,-0.011872833,728.0683594,-0.011928293,728.0683594,-0.001512779,728.0683594,-0.002679509,728.0683594,-0.01220881
727.4981689,-0.012759749,727.4981689,-0.012784131,727.4981689,-0.012464143,727.4981689,-0.002389523,727.4981689,-0.003188497,727.4981689,-0.012623035
727.0704956,-0.013010588,727.0704956,-0.012986672,727.0704956,-0.012647475,727.0704956,-0.002314859,727.0704956,-0.003469476,727.0704956,-0.013024657
726.5001221,-0.013384796,726.5001221,-0.013433939,726.5001221,-0.013177869,726.5001221,-0.002758791,726.5001221,-0.003891296,726.5001221,-0.013393279
725.9296875,-0.013853417,725.9296875,-0.013818915,725.9296875,-0.013439109,725.9296875,-0.003322767,725.9296875,-0.004151309,725.9296875,-0.013805674
725.50177,-0.013971295,725.50177,-0.01412668,725.50177,-0.01360783,725.50177,-0.003310899,725.50177,-0.004622311,725.50177,-0.0140116
724.9310913,-0.014569871,724.9310913,-0.014414345,724.9310913,-0.014373877,724.9310913,-0.003893502,724.9310913,-0.004653147,724.9310913,-0.014428267
724.5029907,-0.014619581,724.5029907,-0.014624337,724.5029907,-0.014236017,724.5029907,-0.004196176,724.5029907,-0.004935023,724.5029907,-0.014535025
723.9321289,-0.015107024,723.9321289,-0.014991755,723.9321289,-0.01462664,723.9321289,-0.004395894,723.9321289,-0.005013383,723.9321289,-0.014920627
723.5039063,-0.015149574,723.5039063,-0.01505917,723.5039063,-0.014798102,723.5039063,-0.004450473,723.5039063,-0.00560342,723.5039063,-0.015151424
722.9328613,-0.015405134,722.9328613,-0.015286345,722.9328613,-0.015125525,722.9328613,-0.004983034,722.9328613,-0.005684419,722.9328613,-0.015133475
722.5045166,-0.015807487,722.5045166,-0.015753269,722.5045166,-0.015198618,722.5045166,-0.004906664,722.5045166,-0.005851326,722.5045166,-0.015540525
721.9332886,-0.015826557,721.9332886,-0.015830651,721.9332886,-0.015476232,721.9332886,-0.005175075,721.9332886,-0.006216898,721.9332886,-0.015618943
721.5047607,-0.015817072,721.5047607,-0.015844926,721.5047607,-0.015412529,721.5047607,-0.005220501,721.5047607,-0.006056003,721.5047607,-0.015728205
720.9332886,-0.015961418,720.9332886,-0.016057022,720.9332886,-0.015618044,720.9332886,-0.005275743,720.9332886,-0.006469964,720.9332886,-0.016003484
720.5046387,-0.016195752,720.5046387,-0.016161984,720.5046387,-0.015746778,720.5046387,-0.005640727,720.5046387,-0.006437676,720.5046387,-0.016054628
719.9329834,-0.016017456,719.9329834,-0.015965011,719.9329834,-0.015632678,719.9329834,-0.00552721,719.9329834,-0.006469097,719.9329834,-0.015971648
719.5042114,-0.016206924,719.5042114,-0.0158611,719.5042114,-0.015773589,719.5042114,-0.005645735,719.5042114,-0.006503014,719.5042114,-0.015940208
718.932373,-0.016213957,718.932373,-0.016173057,718.932373,-0.01560431,718.932373,-0.00565289,718.932373,-0.006296354,718.932373,-0.015918847
718.503418,-0.016298985,718.503418,-0.016217198,718.503418,-0.015815126,718.503418,-0.005733828,718.503418,-0.006524282,718.503418,-0.016067948
717.9313965,-0.016395364,717.9313965,-0.016106714,717.9313965,-0.015875675,717.9313965,-0.005383241,717.9313965,-0.006590628,717.9313965,-0.015966108
717.5023193,-0.016073188,717.5023193,-0.016049787,717.5023193,-0.01562958,717.5023193,-0.00525201,717.5023193,-0.006438849,717.5023193,-0.016171413
716.9300537,-0.015940757,716.9300537,-0.016070094,716.9300537,-0.015626384,716.9300537,-0.005290371,716.9300537,-0.006380897,716.9300537,-0.015769146
716.5008545,-0.016016707,716.5008545,-0.015971549,716.5008545,-0.0156557,716.5008545,-0.005231959,716.5008545,-0.006154528,716.5008545,-0.015781727
715.9284058,-0.015999492,715.9284058,-0.015916353,715.9284058,-0.015324129,715.9284058,-0.005252829,715.9284058,-0.006057534,715.9284058,-0.015790913
715.4990234,-0.015483377,715.4990234,-0.015673527,715.4990234,-0.015263353,715.4990234,-0.005320903,715.4990234,-0.005862257,715.4990234,-0.015708232
715.0695801,-0.015544771,715.0695801,-0.015568298,715.0695801,-0.015065821,715.0695801,-0.00477017,715.0695801,-0.005623862,715.0695801,-0.015573593
714.4968872,-0.015339222,714.4968872,-0.015385547,714.4968872,-0.014932382,714.4968872,-0.00472741,714.4968872,-0.005735463,714.4968872,-0.015417226
714.0673218,-0.015173372,714.0673218,-0.015056769,714.0673218,-0.014291276,714.0673218,-0.004513089,714.0673218,-0.005371224,714.0673218,-0.014800704
713.4944458,-0.014674341,713.4944458,-0.014802906,713.4944458,-0.014258963,713.4944458,-0.00379123,713.4944458,-0.004901136,713.4944458,-0.014536927
713.0646973,-0.014359551,713.0646973,-0.014607417,713.0646973,-0.014427616,713.0646973,-0.003995443,713.0646973,-0.00466923,713.0646973,-0.014607768
