is_2_7_7uM,,is_2_7_15uM,,is_2_7_31uM,,is_2_7_62uM,,is_2_7_125uM,,is_2_7_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
752.4779663,-0.005209093913,752.4779663,-0.005007139407,752.4779663,-0.004448628053,752.4779663,-0.004768889397,752.4779663,-0.00505637005,752.4779663,-0.004856341518,
752.0540161,-0.005596724339,752.0540161,-0.005594015587,752.0540161,-0.004894583486,752.0540161,-0.004995675292,752.0540161,-0.00494531123,752.0540161,-0.004389180336,
751.4887085,-0.005156401079,751.4887085,-0.005305151455,751.4887085,-0.004877382424,751.4887085,-0.004984108265,751.4887085,-0.005155173596,751.4887085,-0.004734784365,
751.0646362,-0.005803922191,751.0646362,-0.005210321397,751.0646362,-0.00489325216,751.0646362,-0.004911066499,751.0646362,-0.005174307153,751.0646362,-0.004469893873,
750.4990845,-0.00548227597,750.4990845,-0.005655240268,750.4990845,-0.00509474799,750.4990845,-0.005017835647,750.4990845,-0.005421129055,750.4990845,-0.005012922455,
749.9334106,-0.005857149139,749.9334106,-0.005609961227,749.9334106,-0.005199630279,749.9334106,-0.005067883991,749.9334106,-0.005341154989,749.9334106,-0.004948740825,
749.5090942,-0.005710989237,749.5090942,-0.005586604588,749.5090942,-0.004917363171,749.5090942,-0.00531906262,749.5090942,-0.00531185139,749.5090942,-0.005016607232,
748.9432373,-0.005794522353,748.9432373,-0.005490762182,748.9432373,-0.005386206321,748.9432373,-0.005447869189,748.9432373,-0.00537659321,748.9432373,-0.005429412238,
748.5187378,-0.006245171186,748.5187378,-0.005999838468,748.5187378,-0.005382217932,748.5187378,-0.005285307765,748.5187378,-0.00560556585,748.5187378,-0.005265871529,
747.9526978,-0.006116192322,747.9526978,-0.005584151484,747.9526978,-0.005500679836,747.9526978,-0.005549701396,747.9526978,-0.005793602671,747.9526978,-0.005088198464,
