is_2_5_7uM,,is_2_5_15uM1,,is_2_5_31uM,,is_2_5_62uM,,is_2_5_125uM,,is_2_5_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
730.4902954,-0.009422761388,730.4902954,-0.009438769892,730.4902954,-0.009883225895,730.4902954,-0.005330620334,730.4902954,-0.007037446834,730.4902954,-0.004740673583,
730.0630493,-0.00968798995,730.0630493,-0.009598467499,730.0630493,-0.01011246536,730.0630493,-0.005314203911,730.0630493,-0.007104631048,730.0630493,-0.004927088972,
729.4932861,-0.009940104559,729.4932861,-0.01017452311,729.4932861,-0.01035351586,729.4932861,-0.006079895888,729.4932861,-0.007344301324,729.4932861,-0.005304895807,
729.0658569,-0.01008616295,729.0658569,-0.01022600383,729.0658569,-0.01062085479,729.0658569,-0.005764891393,729.0658569,-0.007857616991,729.0658569,-0.0054022111,
728.4959106,-0.01055754721,728.4959106,-0.01047138777,728.4959106,-0.01110987738,728.4959106,-0.006234658416,728.4959106,-0.008063129149,728.4959106,-0.005645939615,
728.0683594,-0.01075400785,728.0683594,-0.01077779569,728.0683594,-0.01135985553,728.0683594,-0.006653955672,728.0683594,-0.008303439245,728.0683594,-0.005777255166,
727.4981689,-0.01135536749,727.4981689,-0.0113723129,727.4981689,-0.01176511589,727.4981689,-0.006991140079,727.4981689,-0.008789749816,727.4981689,-0.006101132836,
727.0704956,-0.01144795772,727.0704956,-0.01154486369,727.0704956,-0.01215091906,727.0704956,-0.007609378081,727.0704956,-0.009459234774,727.0704956,-0.006333346944,
726.5001221,-0.01195337623,726.5001221,-0.01197845768,726.5001221,-0.01238771994,726.5001221,-0.007992179133,726.5001221,-0.009739174508,726.5001221,-0.006851171143,
725.9296875,-0.01245971676,725.9296875,-0.01224339008,725.9296875,-0.01280358434,725.9296875,-0.008143416606,725.9296875,-0.009944759309,725.9296875,-0.007239885163,
