is_2_3_31uM,,is_2_3_15uM,,is_2_3_62uM,,is_2_3_125uM,,is_2_3_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
734.0482788,-0.009489323944,734.0482788,-0.01001711097,734.0482788,-0.009812066332,734.0482788,-0.009812116623,734.0482788,-0.01013674401,
733.4793091,-0.009429498576,733.4793091,-0.009835298173,733.4793091,-0.009633711539,733.4793091,-0.009857769124,733.4793091,-0.009656497277,
733.0524902,-0.009278303012,733.0524902,-0.00980584044,733.0524902,-0.009613152593,733.0524902,-0.009945923463,733.0524902,-0.009539670311,
732.4832764,-0.009305617772,732.4832764,-0.009571121074,732.4832764,-0.009698571637,732.4832764,-0.01002915204,732.4832764,-0.009524678811,
732.0563354,-0.009675940499,732.0563354,-0.009826339781,732.0563354,-0.009611431509,732.0563354,-0.01007801946,732.0563354,-0.01020350121,
731.4869385,-0.009564385749,731.4869385,-0.009920218028,731.4869385,-0.01002697647,731.4869385,-0.01032940112,731.4869385,-0.01032611541,
731.0598755,-0.009900380857,731.0598755,-0.01031554863,731.0598755,-0.009931957349,731.0598755,-0.01011570264,731.0598755,-0.01022246387,
730.4902954,-0.01030938141,730.4902954,-0.01033981517,730.4902954,-0.01030543726,730.4902954,-0.01063459646,730.4902954,-0.01057826355,
730.0630493,-0.01023212261,730.0630493,-0.01064550877,730.0630493,-0.0104324203,730.0630493,-0.01070819702,730.0630493,-0.01067551505,
729.4932861,-0.01057679765,729.4932861,-0.01089651231,729.4932861,-0.01080824807,729.4932861,-0.01112501603,729.4932861,-0.01109806821,
729.0658569,-0.01060974039,729.0658569,-0.01100404002,729.0658569,-0.01092912629,729.0658569,-0.01111961622,729.0658569,-0.01107974909,
728.4959106,-0.01113798469,728.4959106,-0.01142692938,728.4959106,-0.01147261448,728.4959106,-0.01170409191,728.4959106,-0.01172011718,
728.0683594,-0.01162022538,728.0683594,-0.01199361682,728.0683594,-0.01186824869,728.0683594,-0.01192990504,728.0683594,-0.01186572947,
727.4981689,-0.01204649359,727.4981689,-0.01227942668,727.4981689,-0.01230187248,727.4981689,-0.0124176573,727.4981689,-0.01260734443,
727.0704956,-0.01233488508,727.0704956,-0.01257772278,727.0704956,-0.01266879588,727.0704956,-0.01267020311,727.0704956,-0.01283570472,
