mbg_3_146_7uM,,mbg_3_146_15uM,,mbg_3_146_31uM,,mbg_3_146_62uM,,mbg_3_146_125uM,,mbg_3_146_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
753.0430908,-0.004117053,753.0430908,-0.003428951,753.0430908,-0.003638212,753.0430908,-0.003478258,753.0430908,-0.003995699,753.0430908,-0.003175854
752.4779663,-0.00433362,752.4779663,-0.003854146,752.4779663,-0.004336799,752.4779663,-0.003243741,752.4779663,-0.004065972,752.4779663,-0.003160281
752.0540161,-0.004251498,752.0540161,-0.004149822,752.0540161,-0.004037044,752.0540161,-0.003667988,752.0540161,-0.004330186,752.0540161,-0.003146867
751.4887085,-0.004519801,751.4887085,-0.004402095,751.4887085,-0.004380621,751.4887085,-0.003636723,751.4887085,-0.004495924,751.4887085,-0.003480826
751.0646362,-0.004531943,751.0646362,-0.004757624,751.0646362,-0.004405837,751.0646362,-0.003571157,751.0646362,-0.004643415,751.0646362,-0.00364925
750.4990845,-0.005319983,750.4990845,-0.004534761,750.4990845,-0.004571034,750.4990845,-0.004268262,750.4990845,-0.004675171,750.4990845,-0.003732
749.9334106,-0.00526577,749.9334106,-0.004678244,749.9334106,-0.004708769,749.9334106,-0.004664928,749.9334106,-0.00519564,749.9334106,-0.003963637
749.5090942,-0.005192775,749.5090942,-0.004501458,749.5090942,-0.004506684,749.5090942,-0.003997956,749.5090942,-0.004923659,749.5090942,-0.004011602
748.9432373,-0.005184129,748.9432373,-0.00545288,748.9432373,-0.004970084,748.9432373,-0.004745129,748.9432373,-0.005600813,748.9432373,-0.004164642
748.5187378,-0.005871808,748.5187378,-0.006053348,748.5187378,-0.005633726,748.5187378,-0.00535711,748.5187378,-0.005680331,748.5187378,-0.004847331
747.9526978,-0.006227973,747.9526978,-0.006029556,747.9526978,-0.00588948,747.9526978,-0.005486263,747.9526978,-0.006557635,747.9526978,-0.005105749
747.5280762,-0.006411608,747.5280762,-0.006333704,747.5280762,-0.006253439,747.5280762,-0.005876507,747.5280762,-0.00636248,747.5280762,-0.005398785
746.961792,-0.006530402,746.961792,-0.006101797,746.961792,-0.006016484,746.961792,-0.005704551,746.961792,-0.00650327,746.961792,-0.005586093
746.5369873,-0.006586906,746.5369873,-0.006521273,746.5369873,-0.006556003,746.5369873,-0.00600183,746.5369873,-0.006580123,746.5369873,-0.005779861
745.97052,-0.007240751,745.97052,-0.006846941,745.97052,-0.006694334,745.97052,-0.006087962,745.97052,-0.006895097,745.97052,-0.00588662
745.5455933,-0.006901059,745.5455933,-0.006969488,745.5455933,-0.007179393,745.5455933,-0.006445582,745.5455933,-0.007055581,745.5455933,-0.006411251
744.9789429,-0.007163351,744.9789429,-0.007124494,744.9789429,-0.00703057,744.9789429,-0.00621057,744.9789429,-0.007476224,744.9789429,-0.006245324
